53500	4.2572	4.2618
53750	4.2639	4.2577
54000	4.2460	4.2494
54250	4.2569	4.2641
54500	4.2452	4.2697
54750	4.2590	4.2501
55000	4.2633	4.2472
55250	4.2684	4.2598
55500	4.2545	4.2552
55750	4.2671	4.2619
56000	4.2486	4.2545
56250	4.2780	4.2742
56500	4.2563	4.2486
56750	4.2542	4.2537
57000	4.2502	4.2563
57250	4.2531	4.2686
57500	4.2517	4.2509
57750	4.2599	4.2575
58000	4.2634	4.2639
58250	4.2593	4.2487
58500	4.2418	4.2607
58750	4.2481	4.2470
59000	4.2497	4.2465
59250	4.2426	4.2470
59500	4.2572	4.2518
59750	4.2446	4.2524
60000	4.2465	4.2409
60250	4.2427	4.2595
60500	4.2615	4.2424
60750	4.2534	4.2478
61000	4.2526	4.2475
61250	4.2549	4.2649
61500	4.2557	4.2550
61750	4.2480	4.2580
62000	4.2587	4.2416
62250	4.2474	4.2442
62500	4.2458	4.2454
62750	4.2449	4.2482
63000	4.2450	4.2451
63250	4.2393	4.2492
63500	4.2449	4.2467
63750	4.2548	4.2538
64000	4.2341	4.2420
64250	4.2437	4.2490
64500	4.2402	4.2523
64750	4.2485	4.2376
65000	4.2453	4.2582
65250	4.2448	4.2407
65500	4.2339	4.2471
65750	4.2493	4.2490
66000	4.2383	4.2497
66250	4.2541	4.2401
66500	4.2428	4.2388
66750	4.2496	4.2358
67000	4.2495	4.2536
67250	4.2427	4.2409
67500	4.2445	4.2388
67750	4.2441	4.2365
68000	4.2516	4.2484
68250	4.2479	4.2470
68500	4.2436	4.2417
68750	4.2419	4.2452
69000	4.2425	4.2445
69250	4.2506	4.2446
69500	4.2600	4.2494
69750	4.2412	4.2442
70000	4.2397	4.2395
70250	4.2515	4.2545
70500	4.2408	4.2277
70750	4.2451	4.2327
71000	4.2355	4.2448
71250	4.2498	4.2493
71500	4.2351	4.2362
71750	4.2544	4.2369
72000	4.2324	4.2447
72250	4.2356	4.2369
72500	4.2361	4.2349
72750	4.2335	4.2273
73000	4.2427	4.2468
73250	4.2335	4.2322
73500	4.2405	4.2393
73750	4.2401	4.2441
74000	4.2326	4.2335
74250	4.2366	4.2270
74500	4.2322	4.2317
74750	4.2304	4.2298
75000	4.2448	4.2255
75250	4.2354	4.2317
75500	4.2361	4.2396
75750	4.2431	4.2379
76000	4.2276	4.2347
76250	4.2393	4.2338
76500	4.2338	4.2337
76750	4.2296	4.2260
77000	4.2413	4.2345
77250	4.2342	4.2360
77500	4.2419	4.2356
77750	4.2469	4.2284
78000	4.2426	4.2144
78250	4.2231	4.2278
78500	4.2412	4.2385
78750	4.2326	4.2282
79000	4.2326	4.2331
79250	4.2382	4.2346
79500	4.2348	4.2384
79750	4.2306	4.2306
80000	4.2444	4.2453
80250	4.2253	4.2344
80500	4.2182	4.2381
80750	4.2275	4.2278
81000	4.2207	4.2238
81250	4.2369	4.2227
81500	4.2225	4.2332
81750	4.2174	4.2308
82000	4.2260	4.2151
82250	4.2330	4.2343
82500	4.2337	4.2253
82750	4.2216	4.2251
83000	4.2312	4.2250
83250	4.2267	4.2228
83500	4.2219	4.2250
83750	4.2360	4.2274
84000	4.2236	4.2232
84250	4.2354	4.2286
84500	4.2237	4.2175
84750	4.2262	4.2270
85000	4.2280	4.2243
85250	4.2154	4.2325
85500	4.2315	4.2341
85750	4.2353	4.2279
86000	4.2266	4.2315
86250	4.2274	4.2318
86500	4.2293	4.2445
86750	4.2255	4.2405
87000	4.2291	4.2258
87250	4.2237	4.2192
87500	4.2277	4.2254
87750	4.2133	4.2202
88000	4.2330	4.2215
88250	4.2270	4.2264
88500	4.2410	4.2281
88750	4.2281	4.2262
89000	4.2265	4.2244
89250	4.2266	4.2265
89500	4.2208	4.2214
89750	4.2171	4.2249
90000	4.2118	4.2222
90250	4.2195	4.2030
90500	4.2219	4.2193
90750	4.2277	4.2155
91000	4.2182	4.2183
91250	4.2211	4.2226
91500	4.2255	4.2109
91750	4.2259	4.2267
92000	4.2301	4.2184
92250	4.2196	4.2217
92500	4.2246	4.2168
92750	4.2205	4.2298
93000	4.2211	4.2255
93250	4.2336	4.2221
93500	4.2371	4.2225
93750	4.2220	4.2156
94000	4.2298	4.2309
94250	4.2206	4.2190
94500	4.2361	4.2260
94750	4.2141	4.2348
95000	4.2177	4.2261
95250	4.2141	4.2168
95500	4.2369	4.2195
95750	4.2289	4.2138
96000	4.2217	4.2115
96250	4.2313	4.2134
96500	4.2217	4.2156
96750	4.2278	4.2138
97000	4.2188	4.2280
97250	4.2251	4.2075
97500	4.2172	4.2224
97750	4.2229	4.2337
98000	4.2162	4.2270
98250	4.2161	4.2305
98500	4.2303	4.2171
98750	4.2304	4.2223
99000	4.2142	4.2206
99250	4.2051	4.2242
99500	4.2191	4.2234
99750	4.2260	4.2256
